"source","gs_collection","gs_subcollection","gs_name","gs_id","gs_exact_source","gs_description","total_genes_in_set","total_db_genes_in_set","keyword_group","matched_keyword"
"KEGG","C2","CP:KEGG_MEDICUS","KEGG_MEDICUS_ENV_FACTOR_E2_TO_NUCLEAR_INITIATED_ESTROGEN_SIGNALING_PATHWAY","M47805","N01364","Pathway Definition from KEGG: E2 -> ESR1/2 => (EGF,FGF9,DLL)",5,5,"Estrogen_or_estradiol","ESTROGEN|ESTRADIOL"
"KEGG","C2","CP:KEGG_MEDICUS","KEGG_MEDICUS_REFERENCE_NUCLEAR_INITIATED_ESTROGEN_SIGNALING_PATHWAY","M47503","N00286","Pathway Definition from KEGG: E2 -> ((ESR1/2)+(NCOA1/2/3)) => (BCL2,EBAG9,KRT19,CTSD,TFF1,PGR)",3,3,"Estrogen_or_estradiol","ESTROGEN|ESTRADIOL"
"KEGG","C2","CP:KEGG_MEDICUS","KEGG_MEDICUS_VARIANT_ESR1_POSITIVE_TO_NUCLEAR_INITIATED_ESTROGEN_SIGNALING_PATHWAY","M48983","N00287","Pathway Definition from KEGG: E2 -> (ESR*+(NCOA3,NCOA1)) => (CCND1,MYC)",2,2,"Estrogen_or_estradiol","ESTROGEN|ESTRADIOL"
"GO","C5","GO:BP","GOBP_CELLULAR_RESPONSE_TO_ESTRADIOL_STIMULUS","M15287","GO:0071392","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of stimulus by estradiol, a C18 steroid hormone hydroxylated at C3 and C17 that acts as a potent estrogen. [GOC:mah]",13,13,"Estrogen_or_estradiol","ESTROGEN|ESTRADIOL"
"GO","C5","GO:BP","GOBP_CELLULAR_RESPONSE_TO_ESTROGEN_STIMULUS","M14988","GO:0071391","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of stimulus by an estrogen, C18 steroid hormones that can stimulate the development of female sexual characteristics. [GOC:mah]",6,6,"Estrogen_or_estradiol","ESTROGEN|ESTRADIOL"
"GO","C5","GO:BP","GOBP_ESTROGEN_BIOSYNTHETIC_PROCESS","M15172","GO:0006703","The chemical reactions and pathways resulting in the formation of estrogens, C18 steroid hormones that can stimulate the development of female sexual characteristics. Also found in plants. [ISBN:0198506732]",8,8,"Estrogen_or_estradiol","ESTROGEN|ESTRADIOL"
"GO","C5","GO:BP","GOBP_ESTROGEN_METABOLIC_PROCESS","M16636","GO:0008210","The chemical reactions and pathways involving estrogens, C18 steroid hormones that can stimulate the development of female sexual characteristics. Also found in plants. [ISBN:0198506732]",35,39,"Estrogen_or_estradiol","ESTROGEN|ESTRADIOL"
"GO","C5","GO:BP","GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY","M16829","GO:0030520","A nuclear receptor-mediated signaling pathway initiated by an estrogen binding to an intracellular receptor of the nuclear receptor protein family, and ending with regulation of a downstream cellular process, e.g. transcription. [GOC:signaling]",17,17,"Estrogen_or_estradiol","ESTROGEN|ESTRADIOL"
"GO","C5","GO:BP","GOBP_NEGATIVE_REGULATION_OF_INTRACELLULAR_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY","M11057","GO:0033147","Any process that stops, prevents, or reduces the frequency, rate or extent of the activity of an intracellular estrogen receptor signaling pathway. [GOC:mah]",5,5,"Estrogen_or_estradiol","ESTROGEN|ESTRADIOL"
"GO","C5","GO:BP","GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY","M49417","GO:0033148","Any process that activates or increases the frequency, rate or extent of the activity of an intracellular estrogen receptor signaling pathway. [GOC:mah]",7,7,"Estrogen_or_estradiol","ESTROGEN|ESTRADIOL"
