gene,stage_plot,average_expression,percent_expressing,term_group,go_id,also_in_other_term
Ar,cTEC,0.438597134750029,44.5378151260504,Estrogen_receptor_signaling,GO:0030520,TRUE
Ar,cTEC,0.438597134750029,44.5378151260504,Androgen_receptor_signaling,GO:0030521,TRUE
Ar,Ccl21a-high,0.27270452968642,35.7894736842105,Estrogen_receptor_signaling,GO:0030520,TRUE
Ar,Ccl21a-high,0.27270452968642,35.7894736842105,Androgen_receptor_signaling,GO:0030521,TRUE
Ar,TAC-TEC,0.179757242084548,33.4928229665072,Estrogen_receptor_signaling,GO:0030520,TRUE
Ar,TAC-TEC,0.179757242084548,33.4928229665072,Androgen_receptor_signaling,GO:0030521,TRUE
Ar,Aire-positive,0.155321277144729,25.1518833535844,Estrogen_receptor_signaling,GO:0030520,TRUE
Ar,Aire-positive,0.155321277144729,25.1518833535844,Androgen_receptor_signaling,GO:0030521,TRUE
Ar,Late-Aire,0.144527626574743,20.4841713221602,Estrogen_receptor_signaling,GO:0030520,TRUE
Ar,Late-Aire,0.144527626574743,20.4841713221602,Androgen_receptor_signaling,GO:0030521,TRUE
Ar,Tuft,0.0672811238590129,8,Estrogen_receptor_signaling,GO:0030520,TRUE
Ar,Tuft,0.0672811238590129,8,Androgen_receptor_signaling,GO:0030521,TRUE
Brca1,cTEC,0.0069135451603946,0.840336134453782,Estrogen_receptor_signaling,GO:0030520,FALSE
Brca1,Ccl21a-high,0.0105143229958466,2.10526315789474,Estrogen_receptor_signaling,GO:0030520,FALSE
Brca1,TAC-TEC,0.0727949908137525,16.9856459330144,Estrogen_receptor_signaling,GO:0030520,FALSE
Brca1,Aire-positive,0.021515340565299,3.88821385176185,Estrogen_receptor_signaling,GO:0030520,FALSE
Brca1,Late-Aire,0.00871132489199122,1.67597765363128,Estrogen_receptor_signaling,GO:0030520,FALSE
Brca1,Tuft,0,0,Estrogen_receptor_signaling,GO:0030520,FALSE
Carm1,cTEC,0.117392160458722,13.8655462184874,Estrogen_receptor_signaling,GO:0030520,FALSE
Carm1,Ccl21a-high,0.103003414953206,16.4912280701754,Estrogen_receptor_signaling,GO:0030520,FALSE
Carm1,TAC-TEC,0.123959489784169,28.2296650717703,Estrogen_receptor_signaling,GO:0030520,FALSE
Carm1,Aire-positive,0.0673533275450983,12.7582017010936,Estrogen_receptor_signaling,GO:0030520,FALSE
Carm1,Late-Aire,0.0551870638861004,9.49720670391061,Estrogen_receptor_signaling,GO:0030520,FALSE
