term_group,term_name,go_id,gene,also_in_other_term
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Ar,TRUE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Brca1,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Carm1,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Ccdc62,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Cdk12,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Cnot1,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Cnot2,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Cyp7b1,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Ddrgk1,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Ddx17,TRUE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Ddx5,TRUE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Ddx54,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Defa17,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Defa23,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Defa3,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Egln2,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Esr1,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Esr2,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Foxa1,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Hdac1,TRUE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Hdac2,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Hdac6,TRUE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Isl1,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Kank2,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Kmt2d,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Lats1,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Lbh,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Med1,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Ncoa1,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Ncoa4,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Padi2,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Pagr1a,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Pak1,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Parp1,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Phb2,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Pou4f2,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Ppargc1b,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Rbfox2,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Safb,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Skp2,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Src,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Strn3,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Tada3,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Taf7,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Trip4,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Trp63,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Uba5,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Ufl1,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Ufm1,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Ufsp2,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Vps11,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Vps18,FALSE
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,Wbp2,FALSE
Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,Ar,TRUE
Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,Cst11,FALSE
Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,Dab2,FALSE
Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,Daxx,FALSE
Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,Ddx17,TRUE
Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,Ddx5,TRUE
Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,Ep300,FALSE
Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,Fkbp4,FALSE
Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,Foxp1,FALSE
Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,Hdac1,TRUE
Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,Hdac6,TRUE
Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,Heyl,FALSE
Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,Igf1,FALSE
Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,Kdm1a,FALSE
Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,Kdm3a,FALSE
Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,Kdm4c,FALSE
Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,Kdm5d,FALSE
Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,Ncor1,FALSE
Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,Ncor2,FALSE
Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,Nkx3-1,FALSE
Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,Nodal,FALSE
Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,Park7,FALSE
Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,Phb,FALSE
Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,Pias2,FALSE
Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,Pkn1,FALSE
Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,Plpp1,FALSE
Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,Pmepa1,FALSE
Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,Prmt2,FALSE
Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,Rhoa,FALSE
Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,Rnf14,FALSE
Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,Rnf6,FALSE
Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,Rwdd1,FALSE
