stage_plot,score_label,term_name,go_id,score_z,score_raw,median_score_z
cTEC,Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,0.375307266921486,0.234657164447736,0.422406690792271
Ccl21a-high,Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,0.347528518173312,0.232999911800506,0.325642676296006
TAC-TEC,Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,0.193601667351163,0.223816788279814,0.299828200067219
Aire-positive,Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,-0.422354725250375,0.187069439741153,-0.417445999936561
Late-Aire,Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,-0.0442455644662653,0.20962705791654,-0.0174743569772485
Tuft,Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,0.771365135903866,0.258285584783638,0.736558615707452
cTEC,Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,0.192660150353776,0.313727196712901,0.194827661056543
Ccl21a-high,Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,0.335653656666564,0.323951320507821,0.406682316521562
TAC-TEC,Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,0.200208673951265,0.314266920800516,0.259355096352761
Aire-positive,Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,-0.43089595730375,0.269142550863153,-0.421386772684036
Late-Aire,Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,0.156864225630166,0.311167766042481,0.202518188598428
Tuft,Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,0.28388163097841,0.320249588776091,0.421314172447645
